,Unnamed: 0,index,hangul_word,english_phrase,does_end_in_hada,hanja_word,hanja_exists,hanja_word_with_hada,num_hangul_words,hangul_syll_chains,hanja_syll_chains,hangul_hanja_subseq_chain,hangul_chain_with_trans,hanja_chain_with_trans
111,3922,이,이,this,False,贰,True,贰,384,['이'],['贰'],"('이', '贰')",이 (Tooth),贰 (two)
112,3923,이,이,this,False,贻,True,贻,384,['이'],['贻'],"('이', '贻')",이 (Tooth),贻 (deliver)
117,3928,이,이,this,False,迆,True,迆,384,['이'],['迆'],"('이', '迆')",이 (Tooth),迆 (fresh water)
118,3929,이,이,this,False,迤,True,迤,384,['이'],['迤'],"('이', '迤')",이 (Tooth),迤 (extend)
119,3930,이,이,this,False,迩,True,迩,384,['이'],['迩'],"('이', '迩')",이 (Tooth),迩 (near)
122,3933,이,이,this,False,邇,True,邇,384,['이'],['邇'],"('이', '邇')",이 (Tooth),邇 (near)
123,3934,이,이,this,False,酏,True,酏,384,['이'],['酏'],"('이', '酏')",이 (Tooth),酏 (chap)
125,3936,이,이,this,False,鉺,True,鉺,384,['이'],['鉺'],"('이', '鉺')",이 (Tooth),鉺 (erbium; erbium)
126,3937,이,이,this,False,铒,True,铒,384,['이'],['铒'],"('이', '铒')",이 (Tooth),铒 (erbium; erbium)
129,3940,이,이,this,False,隶,True,隶,384,['이'],['隶'],"('이', '隶')",이 (Tooth),隶 (subordinate)
131,3942,이,이,this,False,頤,True,頤,384,['이'],['頤'],"('이', '頤')",이 (Tooth),頤 (eat)
134,3945,이,이,this,False,颐,True,颐,384,['이'],['颐'],"('이', '颐')",이 (Tooth),颐 (eat)
135,3946,이,이,this,False,飴,True,飴,384,['이'],['飴'],"('이', '飴')",이 (Tooth),飴 (enjoy)
136,3947,이,이,this,False,餌,True,餌,384,['이'],['餌'],"('이', '餌')",이 (Tooth),餌 (bait)
137,3948,이,이,this,False,饴,True,饴,384,['이'],['饴'],"('이', '饴')",이 (Tooth),饴 (enjoy)
138,3949,이,이,this,False,饵,True,饵,384,['이'],['饵'],"('이', '饵')",이 (Tooth),饵 (bait)
141,3952,이,이,this,False,鮞,True,鮞,384,['이'],['鮞'],"('이', '鮞')",이 (Tooth),鮞 (oolitic)
142,3953,이,이,this,False,鲕,True,鲕,384,['이'],['鲕'],"('이', '鲕')",이 (Tooth),鲕 (oolitic)
143,3954,이,이,this,False,鴯,True,鴯,384,['이'],['鴯'],"('이', '鴯')",이 (Tooth),鴯 (emulation)
145,3956,이,이,this,False,鸸,True,鸸,384,['이'],['鸸'],"('이', '鸸')",이 (Tooth),鸸 (emulation)
193,4004,이,이,two,False,二,True,二,384,['이'],['二'],"('이', '二')",이 (Tooth),二 (two)
194,4005,이,이,two,False,以,True,以,384,['이'],['以'],"('이', '以')",이 (Tooth),以 (with)
195,4006,이,이,two,False,伊,True,伊,384,['이'],['伊'],"('이', '伊')",이 (Tooth),伊 (Yes.g.)
198,4009,이,이,two,False,佴,True,佴,384,['이'],['佴'],"('이', '佴')",이 (Tooth),佴 (connexion)
205,4016,이,이,two,False,咦,True,咦,384,['이'],['咦'],"('이', '咦')",이 (Tooth),咦 (Why?)
206,4017,이,이,two,False,咿,True,咿,384,['이'],['咿'],"('이', '咿')",이 (Tooth),咿 (make a word)
207,4018,이,이,two,False,圯,True,圯,384,['이'],['圯'],"('이', '圯')",이 (Tooth),圯 (factory)
208,4019,이,이,two,False,坨,True,坨,384,['이'],['坨'],"('이', '坨')",이 (Tooth),坨 (lump)
209,4020,이,이,two,False,夷,True,夷,384,['이'],['夷'],"('이', '夷')",이 (Tooth),夷 (banish)
210,4021,이,이,two,False,姨,True,姨,384,['이'],['姨'],"('이', '姨')",이 (Tooth),姨 (aunt)
214,4025,이,이,two,False,尓,True,尓,384,['이'],['尓'],"('이', '尓')",이 (Tooth),尓 (you)
215,4026,이,이,two,False,尔,True,尔,384,['이'],['尔'],"('이', '尔')",이 (Tooth),尔 (you)
219,4030,이,이,two,False,已,True,已,384,['이'],['已'],"('이', '已')",이 (Tooth),已 (already)
222,4033,이,이,two,False,异,True,异,384,['이'],['异'],"('이', '异')",이 (Tooth),异 (different)
225,4036,이,이,two,False,弛,True,弛,384,['이'],['弛'],"('이', '弛')",이 (Tooth),弛 (loosen)
229,4040,이,이,two,False,彝,True,彝,384,['이'],['彝'],"('이', '彝')",이 (Tooth),彝 (one's wife)
230,4041,이,이,two,False,彞,True,彞,384,['이'],['彞'],"('이', '彞')",이 (Tooth),彞 (one's wife)
231,4042,이,이,two,False,怡,True,怡,384,['이'],['怡'],"('이', '怡')",이 (Tooth),怡 (pleasant)
238,4049,이,이,two,False,枱,True,枱,384,['이'],['枱'],"('이', '枱')",이 (Tooth),枱 (table)
251,4062,이,이,two,False,洱,True,洱,384,['이'],['洱'],"('이', '洱')",이 (Tooth),洱 (er)
254,4065,이,이,two,False,爾,True,爾,384,['이'],['爾'],"('이', '爾')",이 (Tooth),爾 (you)
257,4068,이,이,two,False,珥,True,珥,384,['이'],['珥'],"('이', '珥')",이 (Tooth),珥 (call)
259,4070,이,이,two,False,痍,True,痍,384,['이'],['痍'],"('이', '痍')",이 (Tooth),痍 (break)
260,4071,이,이,two,False,眙,True,眙,384,['이'],['眙'],"('이', '眙')",이 (Tooth),眙 (close)
264,4075,이,이,two,False,移,True,移,384,['이'],['移'],"('이', '移')",이 (Tooth),移 (remove)
271,4082,이,이,two,False,羡,True,羡,384,['이'],['羡'],"('이', '羡')",이 (Tooth),羡 (envy)
272,4083,이,이,two,False,而,True,而,384,['이'],['而'],"('이', '而')",이 (Tooth),而 (while)
273,4084,이,이,two,False,耳,True,耳,384,['이'],['耳'],"('이', '耳')",이 (Tooth),耳 (ear)
275,4086,이,이,two,False,肄,True,肄,384,['이'],['肄'],"('이', '肄')",이 (Tooth),肄 (cuff)
278,4089,이,이,two,False,胰,True,胰,384,['이'],['胰'],"('이', '胰')",이 (Tooth),胰 (pancreas)
280,4091,이,이,two,False,苡,True,苡,384,['이'],['苡'],"('이', '苡')",이 (Tooth),苡 (long ago)
283,4094,이,이,two,False,荑,True,荑,384,['이'],['荑'],"('이', '荑')",이 (Tooth),荑 (cat)
289,4100,이,이,two,False,衪,True,衪,384,['이'],['衪'],"('이', '衪')",이 (Tooth),衪 (he)
290,4101,이,이,two,False,袘,True,袘,384,['이'],['袘'],"('이', '袘')",이 (Tooth),袘 (bank)
295,4106,이,이,two,False,詒,True,詒,384,['이'],['詒'],"('이', '詒')",이 (Tooth),詒 (first)
298,4109,이,이,two,False,诒,True,诒,384,['이'],['诒'],"('이', '诒')",이 (Tooth),诒 (first)
301,4112,이,이,two,False,貳,True,貳,384,['이'],['貳'],"('이', '貳')",이 (Tooth),貳 (two)
302,4113,이,이,two,False,貽,True,貽,384,['이'],['貽'],"('이', '貽')",이 (Tooth),貽 (deliver)
303,4114,이,이,two,False,贰,True,贰,384,['이'],['贰'],"('이', '贰')",이 (Tooth),贰 (two)
304,4115,이,이,two,False,贻,True,贻,384,['이'],['贻'],"('이', '贻')",이 (Tooth),贻 (deliver)
309,4120,이,이,two,False,迆,True,迆,384,['이'],['迆'],"('이', '迆')",이 (Tooth),迆 (fresh water)
310,4121,이,이,two,False,迤,True,迤,384,['이'],['迤'],"('이', '迤')",이 (Tooth),迤 (extend)
311,4122,이,이,two,False,迩,True,迩,384,['이'],['迩'],"('이', '迩')",이 (Tooth),迩 (near)
314,4125,이,이,two,False,邇,True,邇,384,['이'],['邇'],"('이', '邇')",이 (Tooth),邇 (near)
315,4126,이,이,two,False,酏,True,酏,384,['이'],['酏'],"('이', '酏')",이 (Tooth),酏 (chap)
317,4128,이,이,two,False,鉺,True,鉺,384,['이'],['鉺'],"('이', '鉺')",이 (Tooth),鉺 (erbium; erbium)
318,4129,이,이,two,False,铒,True,铒,384,['이'],['铒'],"('이', '铒')",이 (Tooth),铒 (erbium; erbium)
321,4132,이,이,two,False,隶,True,隶,384,['이'],['隶'],"('이', '隶')",이 (Tooth),隶 (subordinate)
323,4134,이,이,two,False,頤,True,頤,384,['이'],['頤'],"('이', '頤')",이 (Tooth),頤 (eat)
326,4137,이,이,two,False,颐,True,颐,384,['이'],['颐'],"('이', '颐')",이 (Tooth),颐 (eat)
327,4138,이,이,two,False,飴,True,飴,384,['이'],['飴'],"('이', '飴')",이 (Tooth),飴 (enjoy)
328,4139,이,이,two,False,餌,True,餌,384,['이'],['餌'],"('이', '餌')",이 (Tooth),餌 (bait)
329,4140,이,이,two,False,饴,True,饴,384,['이'],['饴'],"('이', '饴')",이 (Tooth),饴 (enjoy)
330,4141,이,이,two,False,饵,True,饵,384,['이'],['饵'],"('이', '饵')",이 (Tooth),饵 (bait)
333,4144,이,이,two,False,鮞,True,鮞,384,['이'],['鮞'],"('이', '鮞')",이 (Tooth),鮞 (oolitic)
334,4145,이,이,two,False,鲕,True,鲕,384,['이'],['鲕'],"('이', '鲕')",이 (Tooth),鲕 (oolitic)
335,4146,이,이,two,False,鴯,True,鴯,384,['이'],['鴯'],"('이', '鴯')",이 (Tooth),鴯 (emulation)
337,4148,이,이,two,False,鸸,True,鸸,384,['이'],['鸸'],"('이', '鸸')",이 (Tooth),鸸 (emulation)
384,244,구,구,nine,False,丘,True,丘,349,['구'],['丘'],"('구', '丘')",구 (District),丘 (hill)
387,247,구,구,nine,False,久,True,久,349,['구'],['久'],"('구', '久')",구 (District),久 (for a time)
389,249,구,구,nine,False,九,True,九,349,['구'],['九'],"('구', '九')",구 (District),九 (nine)
391,251,구,구,nine,False,仇,True,仇,349,['구'],['仇'],"('구', '仇')",구 (District),仇 (grudge)
392,252,구,구,nine,False,伛,True,伛,349,['구'],['伛'],"('구', '伛')",구 (District),伛 (slouch)
394,254,구,구,nine,False,佝,True,佝,349,['구'],['佝'],"('구', '佝')",구 (District),佝 (crouch)
395,255,구,구,nine,False,俅,True,俅,349,['구'],['俅'],"('구', '俅')",구 (District),俅 (ensign)
396,256,구,구,nine,False,俱,True,俱,349,['구'],['俱'],"('구', '俱')",구 (District),俱 (everything)
399,259,구,구,nine,False,傴,True,傴,349,['구'],['傴'],"('구', '傴')",구 (District),傴 (slouch)
400,260,구,구,nine,False,具,True,具,349,['구'],['具'],"('구', '具')",구 (District),具 (set afoot)
404,264,구,구,nine,False,劬,True,劬,349,['구'],['劬'],"('구', '劬')",구 (District),劬 (give birth to)
407,267,구,구,nine,False,勾,True,勾,349,['구'],['勾'],"('구', '勾')",구 (District),勾 (catch)
411,271,구,구,nine,False,区,True,区,349,['구'],['区'],"('구', '区')",구 (District),区 (block)
412,272,구,구,nine,False,區,True,區,349,['구'],['區'],"('구', '區')",구 (District),區 (block)
413,273,구,구,nine,False,厩,True,厩,349,['구'],['厩'],"('구', '厩')",구 (District),厩 (stable)
415,275,구,구,nine,False,口,True,口,349,['구'],['口'],"('구', '口')",구 (District),口 (mouth)
416,276,구,구,nine,False,句,True,句,349,['구'],['句'],"('구', '句')",구 (District),句 (sentence)
418,278,구,구,nine,False,呕,True,呕,349,['구'],['呕'],"('구', '呕')",구 (District),"呕 (Oh, my God.)"
420,280,구,구,nine,False,咎,True,咎,349,['구'],['咎'],"('구', '咎')",구 (District),咎 (blame)
421,281,구,구,nine,False,嘔,True,嘔,349,['구'],['嘔'],"('구', '嘔')",구 (District),"嘔 (Oh, my God.)"
422,282,구,구,nine,False,坵,True,坵,349,['구'],['坵'],"('구', '坵')",구 (District),坵 (mounds)
424,284,구,구,nine,False,垢,True,垢,349,['구'],['垢'],"('구', '垢')",구 (District),垢 (dirt)
426,286,구,구,nine,False,够,True,够,349,['구'],['够'],"('구', '够')",구 (District),够 (enough)
427,287,구,구,nine,False,夠,True,夠,349,['구'],['夠'],"('구', '夠')",구 (District),夠 (enough)
429,289,구,구,nine,False,妪,True,妪,349,['구'],['妪'],"('구', '妪')",구 (District),妪 (woman)
431,291,구,구,nine,False,媾,True,媾,349,['구'],['媾'],"('구', '媾')",구 (District),媾 (coax)
432,292,구,구,nine,False,嫗,True,嫗,349,['구'],['嫗'],"('구', '嫗')",구 (District),嫗 (woman)
434,294,구,구,nine,False,寇,True,寇,349,['구'],['寇'],"('구', '寇')",구 (District),寇 (rebel)
436,296,구,구,nine,False,屦,True,屦,349,['구'],['屦'],"('구', '屦')",구 (District),屦 (return)
437,297,구,구,nine,False,屨,True,屨,349,['구'],['屨'],"('구', '屨')",구 (District),屨 (return)
438,298,구,구,nine,False,岖,True,岖,349,['구'],['岖'],"('구', '岖')",구 (District),岖 (rugged)
439,299,구,구,nine,False,岣,True,岣,349,['구'],['岣'],"('구', '岣')",구 (District),岣 (Gosausee; Gosausee; Gosausee; Gosausee)
441,301,구,구,nine,False,嶇,True,嶇,349,['구'],['嶇'],"('구', '嶇')",구 (District),嶇 (rugged)
442,302,구,구,nine,False,巯,True,巯,349,['구'],['巯'],"('구', '巯')",구 (District),巯 (mercapto)
443,303,구,구,nine,False,巰,True,巰,349,['구'],['巰'],"('구', '巰')",구 (District),巰 (mercapto)
444,304,구,구,nine,False,廄,True,廄,349,['구'],['廄'],"('구', '廄')",구 (District),廄 (stable)
447,307,구,구,nine,False,彀,True,彀,349,['구'],['彀'],"('구', '彀')",구 (District),彀 (barely)
451,311,구,구,nine,False,惧,True,惧,349,['구'],['惧'],"('구', '惧')",구 (District),惧 (fear)
454,314,구,구,nine,False,懼,True,懼,349,['구'],['懼'],"('구', '懼')",구 (District),懼 (fear)
457,317,구,구,nine,False,扣,True,扣,349,['구'],['扣'],"('구', '扣')",구 (District),扣 (cuff)
459,319,구,구,nine,False,抠,True,抠,349,['구'],['抠'],"('구', '抠')",구 (District),抠 (dig)
460,320,구,구,nine,False,拘,True,拘,349,['구'],['拘'],"('구', '拘')",구 (District),拘 (arrest)
462,322,구,구,nine,False,搆,True,搆,349,['구'],['搆'],"('구', '搆')",구 (District),搆 (extend)
464,324,구,구,nine,False,摳,True,摳,349,['구'],['摳'],"('구', '摳')",구 (District),摳 (dig)
467,327,구,구,nine,False,救,True,救,349,['구'],['救'],"('구', '救')",구 (District),救 (save)
470,330,구,구,nine,False,旧,True,旧,349,['구'],['旧'],"('구', '旧')",구 (District),旧 (old days)
472,332,구,구,nine,False,朐,True,朐,349,['구'],['朐'],"('구', '朐')",구 (District),朐 (law)
475,335,구,구,nine,False,构,True,构,349,['구'],['构'],"('구', '构')",구 (District),构 (frame)
476,336,구,구,nine,False,枸,True,枸,349,['구'],['枸'],"('구', '枸')",구 (District),枸 (Chinese wolf)
477,337,구,구,nine,False,柩,True,柩,349,['구'],['柩'],"('구', '柩')",구 (District),柩 (coffin)
478,338,구,구,nine,False,桕,True,桕,349,['구'],['桕'],"('구', '桕')",구 (District),桕 (tallow)
481,341,구,구,nine,False,榘,True,榘,349,['구'],['榘'],"('구', '榘')",구 (District),榘 (upright)
482,342,구,구,nine,False,構,True,構,349,['구'],['構'],"('구', '構')",구 (District),構 (frame)
485,345,구,구,nine,False,欧,True,欧,349,['구'],['欧'],"('구', '欧')",구 (District),"欧 (Oh, my God.)"
487,347,구,구,nine,False,歐,True,歐,349,['구'],['歐'],"('구', '歐')",구 (District),"歐 (Oh, my God.)"
489,349,구,구,nine,False,殴,True,殴,349,['구'],['殴'],"('구', '殴')",구 (District),殴 (beat)
490,350,구,구,nine,False,毆,True,毆,349,['구'],['毆'],"('구', '毆')",구 (District),毆 (beat)
491,351,구,구,nine,False,毬,True,毬,349,['구'],['毬'],"('구', '毬')",구 (District),毬 (ball)
493,353,구,구,nine,False,求,True,求,349,['구'],['求'],"('구', '求')",구 (District),求 (ask)
495,355,구,구,nine,False,沟,True,沟,349,['구'],['沟'],"('구', '沟')",구 (District),沟 (ditch)
496,356,구,구,nine,False,沤,True,沤,349,['구'],['沤'],"('구', '沤')",구 (District),沤 (decay)
499,359,구,구,nine,False,溝,True,溝,349,['구'],['溝'],"('구', '溝')",구 (District),溝 (ditch)
501,361,구,구,nine,False,漚,True,漚,349,['구'],['漚'],"('구', '漚')",구 (District),漚 (decay)
503,363,구,구,nine,False,灸,True,灸,349,['구'],['灸'],"('구', '灸')",구 (District),灸 (moxibustion)
509,369,구,구,nine,False,犰,True,犰,349,['구'],['犰'],"('구', '犰')",구 (District),犰 (arm)
510,370,구,구,nine,False,狗,True,狗,349,['구'],['狗'],"('구', '狗')",구 (District),狗 (dog)
511,371,구,구,nine,False,玖,True,玖,349,['구'],['玖'],"('구', '玖')",구 (District),玖 (nine)
513,373,구,구,nine,False,球,True,球,349,['구'],['球'],"('구', '球')",구 (District),球 (ball)
515,375,구,구,nine,False,瓯,True,瓯,349,['구'],['瓯'],"('구', '瓯')",구 (District),瓯 (ou)
516,376,구,구,nine,False,甌,True,甌,349,['구'],['甌'],"('구', '甌')",구 (District),甌 (ou)
518,378,구,구,nine,False,疚,True,疚,349,['구'],['疚'],"('구', '疚')",구 (District),疚 (feel guilty)
520,380,구,구,nine,False,癯,True,癯,349,['구'],['癯'],"('구', '癯')",구 (District),癯 (be thin)
523,383,구,구,nine,False,眍,True,眍,349,['구'],['眍'],"('구', '眍')",구 (District),眍 (deep)
526,386,구,구,nine,False,瞘,True,瞘,349,['구'],['瞘'],"('구', '瞘')",구 (District),瞘 (deep)
527,387,구,구,nine,False,瞿,True,瞿,349,['구'],['瞿'],"('구', '瞿')",구 (District),瞿 (all)
528,388,구,구,nine,False,矩,True,矩,349,['구'],['矩'],"('구', '矩')",구 (District),矩 (upright)
529,389,구,구,nine,False,究,True,究,349,['구'],['究'],"('구', '究')",구 (District),究 (investigate)
531,391,구,구,nine,False,窭,True,窭,349,['구'],['窭'],"('구', '窭')",구 (District),窭 (poor)
532,392,구,구,nine,False,窶,True,窶,349,['구'],['窶'],"('구', '窶')",구 (District),窶 (poor)
535,395,구,구,nine,False,笱,True,笱,349,['구'],['笱'],"('구', '笱')",구 (District),笱 (overpowering)
536,396,구,구,nine,False,筘,True,筘,349,['구'],['筘'],"('구', '筘')",구 (District),筘 (reed)
537,397,구,구,nine,False,篝,True,篝,349,['구'],['篝'],"('구', '篝')",구 (District),篝 (bonanza)
541,401,구,구,nine,False,糗,True,糗,349,['구'],['糗'],"('구', '糗')",구 (District),糗 (embarrassment)
550,410,구,구,nine,False,耉,True,耉,349,['구'],['耉'],"('구', '耉')",구 (District),耉 (nine)
554,414,구,구,nine,False,脙,True,脙,349,['구'],['脙'],"('구', '脙')",구 (District),脙 (make a situation)
557,417,구,구,nine,False,臼,True,臼,349,['구'],['臼'],"('구', '臼')",구 (District),臼 (mortar)
558,418,구,구,nine,False,舅,True,舅,349,['구'],['舅'],"('구', '舅')",구 (District),舅 (uncle)
559,419,구,구,nine,False,舊,True,舊,349,['구'],['舊'],"('구', '舊')",구 (District),舊 (old days)
561,421,구,구,nine,False,艽,True,艽,349,['구'],['艽'],"('구', '艽')",구 (District),艽 (wild vegetation)
563,423,구,구,nine,False,苟,True,苟,349,['구'],['苟'],"('구', '苟')",구 (District),苟 (carelessly)
567,427,구,구,nine,False,蒟,True,蒟,349,['구'],['蒟'],"('구', '蒟')",구 (District),蒟 (oil field)
570,430,구,구,nine,False,蔻,True,蔻,349,['구'],['蔻'],"('구', '蔻')",구 (District),蔻 (cardamom)
572,432,구,구,nine,False,蚯,True,蚯,349,['구'],['蚯'],"('구', '蚯')",구 (District),蚯 (earth)
577,437,구,구,nine,False,蠼,True,蠼,349,['구'],['蠼'],"('구', '蠼')",구 (District),蠼 (earwig)
578,438,구,구,nine,False,衢,True,衢,349,['구'],['衢'],"('구', '衢')",구 (District),衢 (thoroughfare)
579,439,구,구,nine,False,袧,True,袧,349,['구'],['袧'],"('구', '袧')",구 (District),"袧 (No, I don't.)"
580,440,구,구,nine,False,裘,True,裘,349,['구'],['裘'],"('구', '裘')",구 (District),"裘 (Jo, come on.)"
581,441,구,구,nine,False,褠,True,褠,349,['구'],['褠'],"('구', '褠')",구 (District),褠 (a large house)
582,442,구,구,nine,False,覯,True,覯,349,['구'],['覯'],"('구', '覯')",구 (District),覯 (go out of one's head)
583,443,구,구,nine,False,觏,True,觏,349,['구'],['觏'],"('구', '觏')",구 (District),觏 (go out of one's head)
589,449,구,구,nine,False,詬,True,詬,349,['구'],['詬'],"('구', '詬')",구 (District),詬 (criticize)
590,450,구,구,nine,False,謳,True,謳,349,['구'],['謳'],"('구', '謳')",구 (District),謳 (celebrate)
591,451,구,구,nine,False,讴,True,讴,349,['구'],['讴'],"('구', '讴')",구 (District),讴 (celebrate)
592,452,구,구,nine,False,诟,True,诟,349,['구'],['诟'],"('구', '诟')",구 (District),诟 (criticize)
595,455,구,구,nine,False,購,True,購,349,['구'],['購'],"('구', '購')",구 (District),購 (buy)
596,456,구,구,nine,False,购,True,购,349,['구'],['购'],"('구', '购')",구 (District),购 (buy)
600,460,구,구,nine,False,躯,True,躯,349,['구'],['躯'],"('구', '躯')",구 (District),躯 (body)
601,461,구,구,nine,False,軀,True,軀,349,['구'],['軀'],"('구', '軀')",구 (District),軀 (body)
603,463,구,구,nine,False,逑,True,逑,349,['구'],['逑'],"('구', '逑')",구 (District),逑 (ball)
604,464,구,구,nine,False,遘,True,遘,349,['구'],['遘'],"('구', '遘')",구 (District),遘 (fall in)
606,466,구,구,nine,False,邱,True,邱,349,['구'],['邱'],"('구', '邱')",구 (District),邱 (high)
607,467,구,구,nine,False,釓,True,釓,349,['구'],['釓'],"('구', '釓')",구 (District),釓 (gadolinium)
609,469,구,구,nine,False,釦,True,釦,349,['구'],['釦'],"('구', '釦')",구 (District),釦 (cuff)
610,470,구,구,nine,False,鈎,True,鈎,349,['구'],['鈎'],"('구', '鈎')",구 (District),鈎 (hook)
611,471,구,구,nine,False,鉤,True,鉤,349,['구'],['鉤'],"('구', '鉤')",구 (District),鉤 (hook)
614,474,구,구,nine,False,钆,True,钆,349,['구'],['钆'],"('구', '钆')",구 (District),钆 (gadolinium)
615,475,구,구,nine,False,钩,True,钩,349,['구'],['钩'],"('구', '钩')",구 (District),钩 (hook)
617,477,구,구,nine,False,阄,True,阄,349,['구'],['阄'],"('구', '阄')",구 (District),阄 (draw lots)
619,479,구,구,nine,False,鞲,True,鞲,349,['구'],['鞲'],"('구', '鞲')",구 (District),鞲 (six-year-grabbing)
620,480,구,구,nine,False,韝,True,韝,349,['구'],['韝'],"('구', '韝')",구 (District),韝 (six-year-grabbing)
621,481,구,구,nine,False,韭,True,韭,349,['구'],['韭'],"('구', '韭')",구 (District),韭 (leek)
624,484,구,구,nine,False,颶,True,颶,349,['구'],['颶'],"('구', '颶')",구 (District),颶 (hurriches)
625,485,구,구,nine,False,飓,True,飓,349,['구'],['飓'],"('구', '飓')",구 (District),飓 (hurriches)
628,488,구,구,nine,False,駒,True,駒,349,['구'],['駒'],"('구', '駒')",구 (District),駒 (coltleneck)
629,489,구,구,nine,False,驅,True,驅,349,['구'],['驅'],"('구', '驅')",구 (District),驅 (drive)
630,490,구,구,nine,False,驱,True,驱,349,['구'],['驱'],"('구', '驱')",구 (District),驱 (drive)
631,491,구,구,nine,False,驹,True,驹,349,['구'],['驹'],"('구', '驹')",구 (District),驹 (coltleneck)
632,492,구,구,nine,False,鬮,True,鬮,349,['구'],['鬮'],"('구', '鬮')",구 (District),鬮 (draw lots)
