,index,hangul_word,english_phrase,does_end_in_hada,hanja_word,hanja_exists,hanja_word_with_hada
80,내일,내일,tomorrow,False,來日,True,來日
81,냉면,냉면,naengmyeon,False,冷麵,True,冷麵
82,냉장고,냉장고,refrigerator,False,冷藏庫,True,冷藏庫
83,너무,너무,too,False,,False,
84,넘어지다,넘어지다,fall down,False,,False,
85,네,네,four (when modifying a counting unit that follows),False,,False,
86,넷,넷,four,False,,False,
87,년,년,year,False,,False,
88,노란색,노란색,yellow,False,,False,
89,노래,노래하다,to sing,True,,False,
90,녹색,녹색,green,False,綠色,True,綠色
91,녹차,녹차,green tea,False,綠茶,True,綠茶
92,높다,높다,high,False,,False,
93,누가,누가,who,False,,False,
94,누구,누구,who,False,,False,
95,누나,누나,elder sister from a male perspective,False,,False,
96,눈,눈,eye | snow,False,,False,
97,눈사람,눈사람,snowman,False,,False,
98,뉴스,뉴스,news,False,,False,
99,뉴욕,뉴욕,New York,False,,False,
100,늦다,늦다,to be late,False,,False,
101,다니다,다니다,to go to (a company) / to work for,False,,False,
102,다른,다른,other,False,,False,
103,다리,다리,leg,False,,False,
104,다섯,다섯,five,False,,False,
105,다음,다음,next,False,,False,
106,다이어트,다이어트,diet,False,,False,
107,다치다,다치다,to be hurt,False,,False,
108,닫다,닫다,to close,False,,False,
109,달,달,month,False,,False,
110,달러,달러,dollar,False,,False,
111,달리다,달리다,to run,False,,False,
112,담배,담배,cigarette,False,,False,
113,대학생,대학생,college student,False,大學生,True,大學生
114,대학생,대학생,university student,False,大學生,True,大學生
115,더,더,more,False,,False,
116,덥다,덥다,hot,False,,False,
117,도서관,도서관,library,False,圖書館,True,圖書館
118,도와주다,도와주다,to help,False,,False,
119,도착,도착하다,to arrive,True,倒錯,True,倒錯하다
120,도착,도착하다,to arrive,True,到着,True,到着하다
121,도쿄,도쿄,Tokyo,False,,False,
122,독일,독일,Germany,False,獨逸,True,獨逸
123,돈,돈,money,False,,False,
124,동생,동생,younger brother or sister,False,同生,True,同生
125,두,두,two (when modifying a counting unit that follows),False,,False,
126,둘,둘,two,False,,False,
127,뒤,뒤,behind,False,,False,
128,뒷사람,뒷사람,person behind,False,,False,
129,드라마,드라마,drama (TV series),False,,False,
130,드시다,드시다,to eat (honorific),False,,False,
131,듣다,듣다,to listen to hear,False,,False,
132,들다,들다,to be contained,False,,False,
133,들어가다,들어가다,to go in to enter,False,,False,
134,등산,등산,mountain climbing / hiking,False,登山,True,登山
135,따뜻,따뜻하다,warm,True,,False,
136,딸,딸,daughter,False,,False,
137,땀,땀,sweat,False,,False,
138,또,또,again / once more,False,,False,
139,똑똑,똑똑하다,smart,True,,False,
140,런던,런던,London,False,,False,
141,로마,로마,Rome,False,,False,
142,마드리드,마드리드,Madrid,False,,False,
143,만나다,만나다,to meet,False,,False,
144,만들다,만들다,to make,False,,False,
145,만지다,만지다,to touch,False,,False,
146,많다,많다,many / much,False,,False,
147,많이,많이,a lot,False,,False,
148,많이,많이,many much,False,,False,
149,말레이시아,말레이시아,Malaysia,False,,False,
150,말하기,말하기,speaking,False,,False,
151,맛없다,맛없다,untasty,False,,False,
152,맛있다,맛있다,tasty / delicious,False,,False,
153,맞다,맞다,right,False,,False,
154,매일,매일,every day,False,每日,True,每日
155,매일,매일,everyday,False,每日,True,每日
156,맥주,맥주,beer,False,麥酒,True,麥酒
157,맵다,맵다,hot and spicy,False,,False,
158,머리,머리,head,False,,False,
159,먹다,먹다,to eat,False,,False,
160,멀다,멀다,far,False,,False,
161,멋있다,멋있다,"to be nice, to be stylish",False,,False,
162,메뉴,메뉴,menu,False,,False,
163,며칠,며칠,what date,False,,False,
164,명,명,counting unit for people,False,,False,
165,명동,명동,Myeong-dong,False,鳴動,True,鳴動
166,명동역,명동역,Myeongdong Station,False,,False,
167,몇,몇,how many,False,,False,
169,모자,모자,hat / cap,False,母子,True,母子
168,모자,모자,hat / cap,False,帽子,True,帽子
170,목,목,neck throat,False,,False,
171,목요일,목요일,Thursday,False,木曜日,True,木曜日
172,무겁다,무겁다,heavy,False,,False,
173,무섭다,무섭다,scary,False,,False,
174,무슨,무슨,what kind of,False,,False,
175,문,문,door,False,,False,
176,물,물,water,False,,False,
177,뭐,뭐,what,False,,False,
178,뭘,뭘,what (object),False,,False,
179,미국,미국,the United States of America,False,美國,True,美國
180,미안,미안하다,sorry,True,未安,True,未安하다
181,바꾸다,바꾸다,to change,False,,False,
182,바꾸다,바꾸다,to exchange,False,,False,
183,바나나,바나나,banana,False,,False,
184,바다,바다,sea ocean,False,,False,
185,바쁘다,바쁘다,busy,False,,False,
186,바지,바지,trousers pants,False,,False,
187,밖,밖,outside,False,,False,
188,반,반,half,False,,False,
189,받다,받다,to receive /to take /to get,False,,False,
190,발,발,foot,False,,False,
191,밥,밥,"steamed rice, meal",False,,False,
192,방,방,room with a bed,False,,False,
193,방콕,방콕,Bangkok,False,,False,
194,방학,방학,school holidays,False,放學,True,放學
195,배,배,"abdomen, stomach | ship/boat",False,,False,
196,배고프다,배고프다,hungry,False,,False,
197,배우다,배우다,to learn,False,,False,
198,백,백,hundred,False,,False,
199,백화점,백화점,department store,False,百貨店,True,百貨店
200,버스,버스,bus,False,,False,
201,번,번,counting unit after number,False,,False,
202,벌써,벌써,already,False,,False,
203,벗다,벗다,to take off,False,,False,
204,베이징,베이징,Beijing,False,,False,
205,베트남,베트남,Vietnam,False,,False,
206,별로,별로,"not really, not particularly",False,,False,
207,병,병,counting unit for bottles,False,,False,
208,병원,병원,hospital,False,病院,True,病院
209,보내다,보내다,to send,False,,False,
210,보내다,보내다,to send / to mail,False,,False,
211,보다,보다,"to see, to watch, to look at",False,,False,
212,복잡,복잡하다,crowded jammed,True,複雜,True,複雜하다
213,볼펜,볼펜,ball-point pen,False,,False,
214,부산,부산,Busan,False,釜山,True,釜山
215,부엌,부엌,kitchen,False,,False,
216,부치다,부치다,to send / to mail,False,,False,
217,분,분,minute,False,,False,
218,불고기,불고기,bulgogi,False,,False,
219,브라질,브라질,Brasil,False,,False,
220,비,비,rain,False,,False,
221,비빔밥,비빔밥,bibimbap,False,,False,
222,비싸다,비싸다,expensive,False,,False,
223,비행기,비행기,airplane,False,飛行機,True,飛行機
224,빌딩,빌딩,building,False,,False,
225,빠르다,빠르다,to be fast,False,,False,
226,빨간색,빨간색,red,False,,False,
227,빨래,빨래하다,to do laundry,True,,False,
228,빨리,빨리,quickly,False,,False,
229,빵,빵,bread,False,,False,
230,사,사,four,False,,False,
231,사과,사과,apple,False,沙果,True,沙果
232,사과,사과,apple,False,謝過,True,謝過
233,사과,사과,apple,False,赦過,True,赦過
234,사다,사다,to buy,False,,False,
236,사람,사람,person,False,,False,
235,사람,사람,"human, person",False,,False,
237,사랑,사랑하다,to love,True,舍廊,True,舍廊하다
238,사무실,사무실,office,False,事務室,True,事務室
239,사용,사용하다,to use,True,使用,True,使用하다
240,사용,사용하다,to use,True,私用,True,私用하다
241,사월,사월,April,False,四月,True,四月
242,사전,사전,dictionary,False,事典,True,事典
243,사전,사전,dictionary,False,事前,True,事前
244,사전,사전,dictionary,False,死前,True,死前
245,사전,사전,dictionary,False,私田,True,私田
246,사전,사전,dictionary,False,私電,True,私電
247,사전,사전,dictionary,False,辭典,True,辭典
248,사진,사진,photograph,False,寫眞,True,寫眞
249,산,산,mountain,False,,False,
250,살,살,-years old/counting unit for age | flesh,False,,False,
251,살다,살다,to live,False,,False,
252,삼,삼,three,False,,False,
253,삼성역,삼성역,Samseong Station,False,,False,
254,삼월,삼월,March,False,三月,True,三月
255,색,색,color,False,,False,
256,생각,생각,thinking / thought,False,,False,
257,생선,생선,fish,False,生鮮,True,生鮮
258,생선회,생선회,sliced raw fish,False,生鮮膾,True,生鮮膾
259,생일,생일,birthday,False,生日,True,生日
260,샤워,샤워하다,to take a shower,True,,False,
261,서울,서울,Seoul,False,,False,
262,선생님,선생님,teacher,False,,False,
263,성함,성함,name (honorific),False,姓銜,True,姓銜
264,세,세,three (when modifying a counting unit that follows),False,,False,
265,세우다,세우다,to stop,False,,False,
266,세일,세일,sale,False,,False,
267,세탁소,세탁소,dry cleaner's,False,洗濯所,True,洗濯所
268,셋,셋,three,False,,False,
269,소파,소파,sofa,False,,False,
270,소포,소포,parcel,False,小包,True,小包
271,손,손,hand,False,,False,
272,손님,손님,customer / guest,False,,False,
273,수영,수영,swimming,False,水泳,True,水泳
275,수영장,수영장,swimming pool,False,水泳場,True,水泳場
274,수영,수영하다,to swim,True,水泳,True,水泳하다
276,수요일,수요일,Wednesday,False,水曜日,True,水曜日
277,숙제,숙제,homework,False,宿題,True,宿題
278,숙제,숙제하다,to do homework,True,宿題,True,宿題하다
279,숟가락,숟가락,spoon,False,,False,
280,술,술,liquor,False,,False,
281,쉬다,쉬다,to rest,False,,False,
282,쉽다,쉽다,easy,False,,False,
283,스키,스키,skiing,False,,False,
284,스키장,스키장,ski resort,False,,False,
285,스파게티,스파게티,spaghetti,False,,False,
286,슬프다,슬프다,sad,False,,False,
287,시,시,o'clock,False,,False,
288,시간,시간,hour,False,時間,True,時間
289,시간표,시간표,time table,False,時間表,True,時間表
292,시계,시계,watch / clock,False,視界,True,視界
291,시계,시계,watch / clock,False,時計,True,時計
290,시계,시계,watch / clock,False,市界,True,市界
293,시끄럽다,시끄럽다,noisy,False,,False,
294,시내,시내,downtown,False,市內,True,市內
295,시월,시월,October,False,十月,True,十月
296,시장,시장,market,False,市場,True,市場
297,시장,시장,market,False,市長,True,市長
299,시청,시청,city hall,False,視聽,True,視聽
298,시청,시청,city hall,False,市廳,True,市廳
300,시청역,시청역,City Hall Station,False,,False,
301,시험,시험,test,False,試驗,True,試驗
302,식당,식당,restaurant,False,食堂,True,食堂
303,신다,신다,to put on (shoes),False,,False,
304,신문,신문,newspaper,False,新聞,True,新聞
305,신문,신문,newspaper,False,訊問,True,訊問
306,신발,신발,shoes,False,,False,
307,심심,심심하다,bored,True,甚深,True,甚深하다
308,십,십,ten,False,,False,
309,십만,십만,hundred thousand,False,十萬,True,十萬
310,십이월,십이월,December,False,十二月,True,十二月
311,십일월,십일월,November,False,十一月,True,十一月
312,싸다,싸다,cheap,False,,False,
313,쓰다,쓰다,to wear /to put on (a hat),False,,False,
314,쓰다,쓰다,to write,False,,False,
315,씨,씨,"Mr., Miss, Mrs., Ms.",False,,False,
316,아기,아기,baby,False,,False,
317,아까,아까,"earlier (today), a while ago (today)",False,,False,
318,아내,아내,wife,False,,False,
319,아들,아들,son,False,,False,
320,아래,아래,under / below,False,,False,
321,아버지,아버지,father,False,,False,
322,아이,아이,child,False,,False,
323,아이스크림,아이스크림,ice cream,False,,False,
324,아주,아주,"very, quite",False,,False,
325,아직,아직,"(not) yet, still",False,,False,
326,아침,아침,morning,False,,False,
327,아프다,아프다,ill /in pain hurt,False,,False,
328,아프다,아프다,to be hurting,False,,False,
329,아프리카,아프리카,Africa,False,,False,
330,아홉,아홉,nine,False,,False,
331,악수,악수하다,to shake hands,True,握手,True,握手하다
332,안,안,inside,False,,False,
333,안,안,not,False,,False,
334,안내,안내,information guide,False,案內,True,案內
335,앉다,앉다,to sit down,False,,False,
336,앞,앞,front,False,,False,
337,야구,야구,baseball,False,野球,True,野球
338,야채,야채,vegetable,False,野菜,True,野菜
339,약,약,medicine,False,,False,
340,약국,약국,pharmacy,False,藥局,True,藥局
341,약속,약속,appointment,False,約束,True,約束
342,어깨,어깨,shoulder,False,,False,
343,어디,어디,where,False,,False,
344,어떤,어떤,what kind of,False,,False,
345,어떻게,어떻게,how,False,,False,
346,어렵다,어렵다,difficult,False,,False,
347,어머니,어머니,mother,False,,False,
348,어제,어제,yesterday,False,,False,
349,언니,언니,elder sister (female pov),False,,False,
350,언제,언제,when,False,,False,
351,얼마,얼마,how much,False,,False,
352,얼마나,얼마나,how long,False,,False,
353,없다,없다,not to have,False,,False,
354,여기,여기,here,False,,False,
355,여덟,여덟,eight,False,,False,
356,여동생,여동생,younger sister,False,女同生,True,女同生
357,여섯,여섯,six,False,,False,
358,여자,여자,woman female,False,女子,True,女子
359,여행,여행,trip travel,False,旅行,True,旅行
361,여행사,여행사,travel agency,False,旅行社,True,旅行社
360,여행,여행하다,to travel,True,旅行,True,旅行하다
362,연구원,연구원,researcher,False,硏究員,True,硏究員
363,연구원,연구원,researcher,False,硏究院,True,硏究院
364,연필,연필,pencil,False,鉛筆,True,鉛筆
365,열,열,fever,False,,False,
366,열,열,ten,False,,False,
367,열다,열다,to open,False,,False,
368,엽서,엽서,postcard,False,葉書,True,葉書
369,영국,영국,the United Kingdom,False,英國,True,英國
371,영어,영어,English (language),False,英語,True,英語
370,영어,영어,English (language),False,囹圄,True,囹圄
373,영화,영화,movie,False,榮華,True,榮華
372,영화,영화,movie,False,映畵,True,映畵
374,옆,옆,beside side,False,,False,
375,예쁘다,예쁘다,pretty,False,,False,
376,예술의,예술의,arts,False,,False,
377,예약,예약하다,to reserve,True,豫約,True,豫約하다
378,오,오,five,False,,False,
379,오늘,오늘,today,False,,False,
380,오다,오다,to come,False,,False,
381,오렌지,오렌지,orange,False,,False,
382,오른쪽,오른쪽,right side,False,,False,
383,오빠,오빠,elder brother from a female perspective,False,,False,
384,오월,오월,May,False,五月,True,五月
385,오전,오전,morning / a.m.,False,午前,True,午前
386,오후,오후,afternoon / p.m.,False,午後,True,午後
387,온돌방,온돌방,traditional Korean room / hot-floored room,False,溫突房,True,溫突房
388,옷,옷,clothes,False,,False,
389,옷장,옷장,wardrobe / closet,False,,False,
390,왜,왜,why,False,,False,
391,외국,외국,foreign country,False,外國,True,外國
392,왼쪽,왼쪽,left side,False,,False,
394,요금,요금,fare charge,False,料金,True,料金
393,요금,요금,fare charge,False,料金,True,料金
395,요리,요리,cooking,False,料理,True,料理
397,요리사,요리사,chef,False,料理師,True,料理師
396,요리,요리하다,to cook,True,料理,True,料理하다
398,요일,요일,a day of the week,False,曜日,True,曜日
399,요즘,요즘,these days nowadays,False,,False,
400,우리,우리,we / our,False,,False,
401,우산,우산,umbrella,False,雨傘,True,雨傘
402,우유,우유,milk,False,牛乳,True,牛乳
403,우체국,우체국,post office,False,郵遞局,True,郵遞局
404,운동,운동,exercise / workout,False,運動,True,運動
405,운동,운동하다,to exercise / to work out,True,運動,True,運動하다
406,운전,운전,driving,False,運轉,True,運轉
407,운전,운전하다,to drive,True,運轉,True,運轉하다
408,원,원,KRW / won (Korean money),False,,False,
409,월,월,month,False,,False,
410,월요일,월요일,Monday,False,月曜日,True,月曜日
411,위,위,above / on,False,,False,
412,유럽,유럽,Europe,False,,False,
413,육,육,six,False,,False,
414,은행,은행,bank,False,銀杏,True,銀杏
415,은행,은행,bank,False,銀行,True,銀行
416,은행원,은행원,bank clerk,False,銀行員,True,銀行員
417,음식,음식,food,False,飮食,True,飮食
418,음악,음악,music,False,音樂,True,音樂
419,의사,의사,doctor,False,意思,True,意思
420,의사,의사,doctor,False,擬似,True,擬似
421,의사,의사,doctor,False,義士,True,義士
422,의사,의사,doctor,False,醫師,True,醫師
424,의자,의자,chair,False,椅子,True,椅子
423,의자,의자,chair,False,倚子,True,倚子
426,이,이,two,False,,False,
425,이,이,this,False,,False,
427,이거,이거,this (one),False,,False,
428,이렇게,이렇게,like this /in this way,False,,False,
429,이름,이름,name,False,,False,
430,이메일,이메일,e-mail,False,,False,
431,이번,이번,this time,False,,False,
432,이분,이분,this person (honorific),False,,False,
433,이상,이상하다,to be strange,True,以上,True,以上하다
434,이상,이상하다,to be strange,True,理想,True,理想하다
435,이상,이상하다,to be strange,True,異常,True,異常하다
436,이야기,이야기하다,to talk,True,,False,
437,이용,이용,use,False,利用,True,利用
438,인도,인도,India,False,人道,True,人道
440,인도,인도,India,False,引渡,True,引渡
439,인도,인도,India,False,引導,True,引導
441,인사동,인사동,Insa-dong,False,,False,
442,인천공항,인천공항,Incheon Airport,False,仁川空港,True,仁川空港
444,일,일,one,False,,False,
445,일,일,work,False,,False,
443,일,일,day,False,,False,
447,일곱,일곱,seven,False,,False,
448,일기,일기,diary,False,一期,True,一期
449,일기,일기,diary,False,日氣,True,日氣
450,일기,일기,diary,False,日記,True,日記
451,일본,일본,Japan,False,日本,True,日本
452,일본어,일본어,Japanese (language),False,日本語,True,日本語
453,일어나다,일어나다,to get up,False,,False,
454,일요일,일요일,Sunday,False,日曜日,True,日曜日
446,일,일하다,to work,True,,False,
455,읽다,읽다,to read,False,,False,
456,입다,입다,to wear / to put on,False,,False,
457,있다,있다,to have,False,,False,
458,자다,자다,to sleep,False,,False,
459,자리,자리,seat place,False,,False,
460,자전거,자전거,bicycle,False,自轉車,True,自轉車
461,자주,자주,often,False,自主,True,自主
462,작년,작년,last year,False,昨年,True,昨年
463,작다,작다,small,False,,False,
464,잔,잔,counting unit for glasses or cups,False,,False,
465,잘,잘하다,be good at,True,,False,
466,장미,장미,rose,False,薔薇,True,薔薇
467,재미없다,재미없다,not interesting,False,,False,
468,재미있다,재미있다,interesting,False,,False,
469,저,저,he / she,False,,False,
470,저,저,that,False,,False,
471,저거,저거,that (one),False,,False,
472,저녁,저녁,evening,False,,False,
473,저분,저분,that person (honorific),False,,False,
474,전혀,전혀,not at all,False,,False,
475,전화,전화,cellular phone/mobile,False,轉化,True,轉化
476,전화,전화,cellular phone/mobile,False,電話,True,電話
479,전화번호,전화번호,telephone number,False,電話番號,True,電話番號
477,전화,전화하다,to call,True,轉化,True,轉化하다
478,전화,전화하다,to call,True,電話,True,電話하다
480,점심,점심,lunch,False,點心,True,點心
481,젓가락,젓가락,chopsticks,False,,False,
482,정말,정말,"really, truly",False,,False,
483,제,제,my,False,,False,
484,제주도,제주도,Jeju Island,False,濟州島,True,濟州島
485,조금,조금,"a little, a bit, a little bit",False,,False,
486,좀,좀,please,False,,False,
487,좋다,좋다,good,False,,False,
488,좋아,좋아하다,to like,True,,False,
489,주다,주다,to give,False,,False,
490,주말,주말,weekend,False,週末,True,週末
491,주소,주소,address,False,住所,True,住所
492,주스,주스,juice,False,,False,
493,주일,주일,week,False,主日,True,主日
494,주일,주일,week,False,週日,True,週日
495,주일,주일,week,False,駐日,True,駐日
496,주차장,주차장,parking lot,False,駐車場,True,駐車場
497,준비,준비하다,to prepare,True,準備,True,準備하다
498,중국,중국,China,False,中國,True,中國
499,중국어,중국어,Chinese (language),False,中國語,True,中國語
500,중학생,중학생,middle school student,False,中學生,True,中學生
501,지갑,지갑,wallet,False,紙匣,True,紙匣
502,지금,지금,now,False,只今,True,只今
503,지난,지난,last,False,至難,True,至難
504,지우개,지우개,eraser,False,,False,
505,지하철,지하철,subway,False,地下鐵,True,地下鐵
506,지하철역,지하철역,subway station,False,地下鐵驛,True,地下鐵驛
507,직업,직업,job/ occupation,False,職業,True,職業
508,직원,직원,staff,False,直員,True,直員
509,직원,직원,staff,False,職員,True,職員
510,질문,질문,question,False,質問,True,質問
511,집,집,house,False,,False,
512,집안일,집안일,chores,False,,False,
513,짧다,짧다,short,False,,False,
514,쯤,쯤,about / around,False,,False,
515,찌다,찌다,to gain (weight),False,,False,
516,찍다,찍다,to take (a picture),False,,False,
518,차,차,tea,False,,False,
517,차,차,car,False,,False,
519,착,착하다,to be kind,True,,False,
520,찬물,찬물,cold water,False,,False,
521,참,참,very / really,False,,False,
522,창문,창문,window,False,窓門,True,窓門
523,찾다,찾다,to look for,False,,False,
524,책,책,book,False,,False,
525,책방,책방,bookstore,False,冊房,True,冊房
526,책상,책상,desk,False,冊床,True,冊床
527,천,천,thousand,False,,False,
528,청바지,청바지,jeans,False,,False,
529,청소,청소,cleaning,False,淸掃,True,淸掃
530,청소,청소하다,to clean,True,淸掃,True,淸掃하다
531,초등학생,초등학생,elementary school student,False,初等學生,True,初等學生
532,추석,추석,the Korean Thanksgiving,False,秋夕,True,秋夕
533,축구,축구,soccer,False,蹴球,True,蹴球
534,출근,출근하다,to go to work,True,出勤,True,出勤하다
535,출발,출발,departure,False,出發,True,出發
536,출발,출발하다,to depart,True,出發,True,出發하다
537,춤추다,춤추다,to dance,False,,False,
538,춥다,춥다,cold,False,,False,
539,층,층,floor,False,,False,
540,치다,치다,to play / to hit / to strike,False,,False,
541,치마,치마,skirt,False,,False,
542,친구,친구,friend,False,親舊,True,親舊
543,칠,칠,seven,False,,False,
544,침대,침대,bed,False,寢臺,True,寢臺
545,카메라,카메라,camera,False,,False,
546,캐나다,캐나다,Canada,False,,False,
547,커피,커피,coffee,False,,False,
548,커피숍,커피숍,coffee shop,False,,False,
549,컴퓨터,컴퓨터,computer,False,,False,
550,케이크,케이크,cake,False,,False,
551,코,코,nose,False,,False,
552,코트,코트,coat,False,,False,
553,콜라,콜라,cola,False,,False,
554,콧물,콧물,runny nose,False,,False,
555,크다,크다,big,False,,False,
556,타다,타다,to get on to ride,False,,False,
557,태권도,태권도,taekwondo,False,跆拳道,True,跆拳道
558,택시,택시,taxi,False,,False,
559,테니스,테니스,tennis,False,,False,
560,텔레비전,텔레비전,television,False,,False,
561,토요일,토요일,Saturday,False,土曜日,True,土曜日
562,투표,투표,vote,False,投票,True,投票
563,투표,투표하다,to vote,True,投票,True,投票하다
564,특히,특히,especially,False,,False,
565,티셔츠,티셔츠,T-shirt,False,,False,
566,파란색,파란색,blue,False,,False,
567,파리,파리,Paris,False,,False,
568,파티,파티,party,False,,False,
569,팔,팔,arm,False,,False,
570,팔,팔,eight,False,,False,
572,편지,편지,letter,False,便紙,True,便紙
571,편,편하다,comfortable,True,,False,
573,포도,포도,grape,False,葡萄,True,葡萄
574,포크,포크,fork,False,,False,
575,표,표,ticket,False,,False,
576,프랑스,프랑스,France,False,,False,
577,프랑스어,프랑스어,French (language),False,,False,
578,피,피,blood,False,,False,
579,피곤,피곤하다,tired,True,疲困,True,疲困하다
580,피라미드,피라미드,pyramid,False,,False,
581,피아노,피아노,piano,False,,False,
582,피우다,피우다,to smoke (a cigarette),False,,False,
583,피자,피자,pizza,False,,False,
584,하나,하나,one,False,,False,
0,,하다,to do,True,,False,
585,하루,하루,one day,False,,False,
586,하얀색,하얀색,white,False,,False,
587,학교,학교,school,False,學校,True,學校
588,학생,학생,student,False,學生,True,學生
589,한,한,one (when modifying a counting unit that follows),False,,False,
590,한국,한국,Korea,False,韓國,True,韓國
591,한국어,한국어,Korean (language),False,韓國語,True,韓國語
592,한라산,한라산,Hallasan,False,漢拏山,True,漢拏山
593,한번,한번,once,False,,False,
594,한복,한복,hanbok (traditional Korean costume),False,韓服,True,韓服
595,할머니,할머니,grandmother,False,,False,
596,할아버지,할아버지,grandfather,False,,False,
597,항상,항상,always,False,恒常,True,恒常
598,핸드폰,핸드폰,mobile phone,False,,False,
599,햄버거,햄버거,hamburger,False,,False,
600,허리,허리,waist,False,,False,
602,형,형,older brother,False,,False,
601,형,형,elder brother from a male perspective,False,,False,
603,호선,호선,subway line number,False,號線,True,號線
604,호주,호주,Australia,False,戶主,True,戶主
605,호주,호주,Australia,False,濠洲,True,濠洲
606,호텔,호텔,hotel,False,,False,
607,혼자,혼자,alone,False,,False,
608,홍차,홍차,black tea,False,紅茶,True,紅茶
609,화요일,화요일,Tuesday,False,火曜日,True,火曜日
610,화장실,화장실,rest room,False,化粧室,True,化粧室
611,회사,회사,company,False,會社,True,會社
612,회사원,회사원,company employee,False,會社員,True,會社員
613,회색,회색,grey,False,灰色,True,灰色
614,회의,회의하다,to hold a meeting,True,懷疑,True,懷疑하다
615,회의,회의하다,to hold a meeting,True,會議,True,會議하다
616,휴가,휴가,leave / vacation,False,休暇,True,休暇
617,휴대,휴대,being portable,False,携帶,True,携帶
618,힘들다,힘들다,laborous hard,False,,False,
